Timestamp,Gender,Age,Nationality,Current Country of Residence,Current State of Residence,Current City of Residence,Highest Level of Education,Name of Highest Degree Obtained,Name of School or University,Is your degree tech related?,Did you go through a bootcamp to learn technical skills?,"Professional Certification (Eg. CCNA, CEH, GCP Cloud Associate)",Name of Bootcamp Course ,Name of Professional Certification(s),Job Title,What is your currency code?,What is your current monthly base salary?,What is your current bonus compensation per year?,What is your current equity (stock) compensation per year?,How many days of annual leave are you entitled to?,Company Benefits,What technologies do you use for work on a regular basis?,Company Location,Company Industry,What is the size of your company?,What is the size of your tech team? ,What's the name of your company? [Optional],Satisfaction Level of Current Job,Years of Experience,Number of past employments/jobs (excluding the current one),What was your starting monthly salary?,Indicate in 3-character currency code for starting monthly salary
26/07/2021 21:17:43,Female,28,Malaysian,Malaysia,Kuala Lumpur,Kuala Lumpur,Masters Degree,,,No,No,No,,,System Developer,MYR,4750,4750,0,14,"Health Insurance, Vacation/Personal Days, Free Snacks, Free Drinks, Learning and Development, Company Laptop","Java, python","Kuala Lumpur, Malaysia",Financial Services,11-50 employees,2 - 10 people,,5,2.5,0,3500,
26/07/2021 21:17:54,Male,26,any,Malaysia,Selangor,pj,Undergraduate Degree,Bachelor of Computer Science,any,Yes,No,No,,,backed developer,MYR,8000,0,0,18,Health Insurance,any,"Selangor, Malaysia",Financial Services,51-200 employees,2 - 10 people,,7,5,3,5500,
26/07/2021 21:19:11,Male,26,Malaysian,Malaysia,Selangor,KLang,Undergraduate Degree,Bachelor of software engineering (education software) ,Upsi,Yes,No,No,,,Software Engineer ,MYR,4500,0,0,12,Company Laptop,"Laravel, Ionic","Shah Alam, Malaysia ","Industrials (Manufacturing, Construction, etc.)",1-10 employees,2 - 10 people,,6,2,0,2800,
26/07/2021 21:20:04,Male,27,Malaysian,Malaysia,Selangor,Subang Jaya,Undergraduate Degree,Software engineering,UNITEN,Yes,No,No,,,Junior Full Stack developer,MYR,3500,0,0,14,"Health Insurance, Employee Assistance Program, Maternity Leave, Paternity Leave, Free Snacks, Free Drinks, Remote Work, Learning and Development","Laravel, kubernetes, gcloud (gke mainly), nodejs, etc","Selangor, Malaysia","Data Infrastructure, Telecom",51-200 employees,2 - 10 people,,6,1,0,1800,
26/07/2021 21:20:27,Male,26,Malaysian,Malaysia,KL,KL,Undergraduate Degree,Bachelor of Software Engineering ,UTAR,Yes,No,No,,,System Developer,MYR,3900,4000,0,14,"Health Insurance, Maternity Leave, Paternity Leave, Free Snacks, Free Drinks, Company Laptop",Java,"KL, Malaysia",Financial Services,11-50 employees,2 - 10 people,,5,2.5,0,3100,
26/07/2021 21:21:21,Male,26,Malaysian,Malaysia,Selangor,KLang,Undergraduate Degree,Bachelor of Science hon software engineering,UTAR,Yes,No,No,,,Java developer,MYR,3900,2 months,10000,14,"Health Insurance, Vacation/Personal Days, Company Laptop",J2EE,"Selangor, Malaysia",Retail / ecommerce,51-200 employees,11 - 50 people,,3,2.5,1,3300,
26/07/2021 21:21:22,Male,26,Malaysian,Malaysia,Selangor ,Bandar Sri damansara,Undergraduate Degree,Software engineering ,Taylor's University,Yes,No,No,,,Full stack engineer,MYR,6600,0,0,12,"Health Insurance, Vacation/Personal Days, Sick Time (Unlimited), Remote Work, Transport Allowance",MERN stack ,"Selangor, Malaysia","Transport, Logistics",201-1000 employees,51 - 200 people,,10,4,1,3800,
26/07/2021 21:22:13,Male,28,Malaysian,Malaysia,Penang,Bayan Lepas,Undergraduate Degree,Bachelor of Computer Science ,Multimedia University (Cyberjaya),Yes,No,No,,,R&D Software Engineer 2,MYR,4000,4000,3000,15,"Health Insurance, Dental Insurance, Employee Assistance Program, Maternity Leave, Paternity Leave, Sick Time (Unlimited), Employee Discount, Learning and Development, Company Laptop","C#,HTML,JS","Penang, Malaysia","Industrials (Manufacturing, Construction, etc.)",">10,000employees",2 - 10 people,,3,4,0,3200,
26/07/2021 21:24:00,Male,24,Malaysian,Malaysia,Kuala Lumpur,Kuala Lunpur,Undergraduate Degree,Bachelor of Software Engineering,APU,Yes,No,No,,,Data Scientist ,MYR,5000,0,,14,"Health Insurance, Company Laptop, Setel Credit","Aws, Holistics, Hex",Kuala Lumpur,Financial Services,51-200 employees,51 - 200 people,Setel,8,2,1,3950,
26/07/2021 21:24:24,Male,36,Malaysian,Malaysia,Selangor,Damansara,Undergraduate Degree,Bachelor of Degree in Information System Engineering,UTAR,Yes,No,No,,,Tech Team Lead,MYR,12000,0,0,14,Learning and Development,.NET,"Selangor, Malaysia",Software House ,11-50 employees,2 - 10 people,,5,14,4,2400,
26/07/2021 21:24:28,Male,26,Malaysian,Malaysia,Wilayah Persekutuan,Kuala Lumpur,Undergraduate Degree,Bachelor of Science in Electrical Engineering,Ohio State University,Yes,Yes,No,Software Engineering Conversion Program,,Software Engineer,MYR,3200,0,0,15,"Remote Work, Transport Allowance","Javascript, React, HTML, CSS, GraphQL, MongoDB, Nodejs","Wilayah Persekutuan, Malaysia",Retail / ecommerce,51-200 employees,2 - 10 people,,8,1,0,3200,
26/07/2021 21:24:46,Male,24,Malaysian,Malaysia,Puchong ,Selangor ,Diploma ,Diploma in mechatronic engineering ,Polytechnic nilai,N/A,Yes,No,Full stack - Hacker collective,,Control automation engineer ,MYR,3000,0,0,14,"Life Insurance, Remote Work, Company Laptop",Laptop,KL,"Industrials (Manufacturing, Construction, etc.)",1-10 employees,2 - 10 people,,10,3,0,1500,
26/07/2021 21:26:14,Male,29,Malaysian,Malaysia,Selangor,petaling jaya,Undergraduate Degree,bachelor computer sciene,uthm,Yes,No,No,,,senior system analyst,MYR,6500,8900,,24,"Health Insurance, Life Insurance, Dental Insurance, Maternity Leave, Paternity Leave","java,spring","Selangor, malaysia",Government and Government Linked Companies (GLC),51-200 employees,2 - 10 people,,5,6,1,2500,
26/07/2021 21:27:06,Male,26,Malaysian,Malaysia,Selangor,Rawang,Undergraduate Degree,Bachelor of Computer Science,Monash University Malaysia,Yes,No,No,,,Software Engineer Specialist,MYR,4750,2900,,16,"Health Insurance, Maternity Leave, Paternity Leave, Vacation/Personal Days, Free Snacks, Free Drinks, Remote Work",Quill (Quintiq Logic Language),"Selangor, Malaysia",Tech,">10,000employees",2 - 10 people,,6,0.5,2,3600,
26/07/2021 21:29:09,Male,21,Malaysian,Malaysia,Selangor,Puchong,Undergraduate Degree,Diploma in Information Technology,Inti College Subang Jaya,Yes,Yes,No,Hacking and Security Vulnerability Management,,Associate Penetration Tester,MYR,4700,0,0,20,"Health Insurance, Life Insurance, Dental Insurance, Vacation/Personal Days, Free Breakfast, Remote Work, Gym/Wellness Reimbursement, Employee Discount, Learning and Development, Company Laptop",Laptop,Bukit Jalil,Entertainment,"1,001-10,000 employees",2 - 10 people,Astro,9,1,2,2200,
26/07/2021 21:30:09,Male,31,Malaysian,Malaysia,Kedah,Sungai Petani,Undergraduate Degree,Bachelor of Computer Science,UTAR,Yes,No,No,,,Frontend Developer,MYR,4800,1,0,12,"Health Insurance, Life Insurance, Dental Insurance, Employee Assistance Program, Maternity Leave, Paternity Leave, Vacation/Personal Days, Remote Work, Learning and Development, Transport Allowance, Company Laptop","React,Javascript,CSS,Frontend ","Penang, Malaysia",Business,1-10 employees,2 - 10 people,Easywork,5,6,3,2000,
26/07/2021 21:30:37,Male,29,Malaysian,Singapore,Singapore,Singapore,Undergraduate Degree,Bachelor of Computer Science,University Putra Malaysia,Yes,Yes,Yes,Back-End Web Development Course (JavaScript on Node.js) – MaGIC Academy,"CCNA, CEH, AWS Solutions Architect Associated, Microsoft Azure Administrator",Senior Technology Engineer,SGD,5000,0,0,17,"Remote Work, Learning and Development, Company Laptop","Java, PHP, JS, HTML5",Singapore,Digital Agency,51-200 employees,11 - 50 people,,6,5,2,3500,
26/07/2021 21:31:17,Male,37,Malaysian,Malaysia,Selangor,Seri kembangan,Undergraduate Degree,Degree in IT,ukm,Yes,No,No,,,Senior software developer,MYR,12190,12000,0,14,"Health Insurance, Paternity Leave, Company Laptop","Aws, javascript",Selangor,gis,11-50 employees,2 - 10 people,,8,12,3,2000,
26/07/2021 21:31:39,Male,26,Malaysian,Malaysia,Penang,Ayer Itam,Masters Degree,Master of Data Science and Analytics,Universiti Sains Malaysia,Yes,No,No,,,R&D Software Engineer,MYR,5200,5200,0,15,"Health Insurance, Employee Assistance Program, Maternity Leave, Paternity Leave, Free Lunch, Learning and Development, Company Laptop, Tol Subsidy","Python, Pytorch. ","Penang, Malaysia",Electronics,201-1000 employees,2 - 10 people,,7,3,0,4000,
26/07/2021 21:33:29,Male,26,Malaysian,Malaysia,Johor,Johor Bahru,Undergraduate Degree,,,No,No,No,,,Full Stack Web Developer,MYR,6000,,0,14,"Gym/Wellness Reimbursement, Company Laptop","ASP .NET, Vue.js ",Malaysia,Business,11-50 employees,2 - 10 people,,6,2,0,3500,
26/07/2021 21:33:43,Male,38,Malaysian,Malaysia,Selangor,Shah alam,Undergraduate Degree,Bachelor of software engineering,inti college,Yes,No,No,,,Solution architect,MYR,12000,0,0,28,"Health Insurance, Vacation/Personal Days, Free Drinks, Remote Work, Company Laptop","Web , .Net, javascript,mssql","Selangor ,malaysia",Business,1-10 employees,2 - 10 people,,10,10,2,1400,
26/07/2021 21:33:43,Male,30,Malaysian,Malaysia,Penang,Bukit Mertajam,Undergraduate Degree,Bachelor of Computer Science,UTAR Kampar,Yes,No,Yes,,ISTQB,Design Engineer ,MYR,4500,18000,,18,"Health Insurance, Life Insurance, Dental Insurance, Maternity Leave, Paternity Leave, Employee Discount, Transport Allowance, Company Laptop",Don't understand,"Penang, Malaysia","Industrials (Manufacturing, Construction, etc.)","1,001-10,000 employees",11 - 50 people,Sony,8,5,1,2600,
26/07/2021 21:34:53,Male,30,Malaysian,Malaysia,Johor,Johor,Undergraduate Degree,Bachelor of Mechanical Enginnering,UTM,Yes,No,No,,,Enginner,MYR,5000,5000,0,22,"Health Insurance, Life Insurance, Dental Insurance","JavaScript, Python",johor,"Industrials (Manufacturing, Construction, etc.)","1,001-10,000 employees",2 - 10 people,,7,3,2,4000,
26/07/2021 21:36:13,Male,32,Malaysian,Malaysia,Kuala Lumpur,Kuala Lumpur,Undergraduate Degree,Bachelors of Science,,Yes,No,No,,,Data Engineer,MYR,12500,0,0,10,"Health Insurance, Dental Insurance, Transport Allowance","Python, Deep Learning",Kuala Lmpur,Healthcare,51-200 employees,2 - 10 people,,10,8,5,2500,
26/07/2021 21:36:49,Male,29,Malaysian,Malaysia,Selangor,Petaling Jaya,Undergraduate Degree,Bachelor of Science,,Yes,No,No,,,Senior Software Engineer,MYR,15000,0,0,20,"Health Insurance, Life Insurance, Vacation/Personal Days, Sick Time (Unlimited), Remote Work","NodeJs, Typescript, AWS","Kuala Lumpur, Malaysia",Financial Services,201-1000 employees,51 - 200 people,,6,6,4,9000,
26/07/2021 21:36:55,Male,26,Malaysian,Malaysia,Selangor,bandar utama,Undergraduate Degree,Bachelor of Software Engineering,Southern University College,Yes,No,Yes,,"AWS ACE, GCP ACE",Software Engineer,MYR,6500,13000,,21,"Health Insurance, Maternity Leave, Paternity Leave, Vacation/Personal Days, Free Lunch, Remote Work, Learning and Development, Transport Allowance, Company Laptop",Ruby on Rails,Malaysia,Financial Services,11-50 employees,2 - 10 people,Coingecko,10,3,1,3000,
26/07/2021 21:40:28,Female,33,Malaysian,Malaysia,Selangor,PJ,Undergraduate Degree,Business Information System,Universiti Teknologi Petronas,Yes,No,No,,,Front End Developer,MYR,8500,0,0,20,"Health Insurance, Maternity Leave, Sick Time (Unlimited), Remote Work, Company Laptop",-,US,Healthcare,11-50 employees,2 - 10 people,,8,8,5,2700,
26/07/2021 21:40:39,Male,29,Malaysian,Malaysia,Malaysia,Kuala lumpur,Undergraduate Degree,Engineering,University of Nottingham ,Yes,No,No,,,Product manager ,MYR ,18000,90000,0,30,"Health Insurance, Life Insurance, Maternity Leave, Paternity Leave, Vacation/Personal Days, Sick Time (Unlimited), Remote Work, Gym/Wellness Reimbursement, Employee Discount, Learning and Development, Transport Allowance, Company Laptop, Relocation Bonus","Native mob dev, spring boot","Kuala Lumpur, Malaysiam",Financial Services,">10,000employees",200+ people,,8,5,1,8000,
26/07/2021 21:41:30,Male,30,Malaysian,Malaysia,Selangor,Shah Alam,Undergraduate Degree,Bachelor of Computer Science,Universiti Tenaga Nasional,Yes,No,No,,,Software Engineer,MYR,7000,9000,,15,"Health Insurance, Dental Insurance, Maternity Leave, Paternity Leave, Vacation/Personal Days, Remote Work, Gym/Wellness Reimbursement, Learning and Development, Company Laptop","Javascript, PHP",Kuala Lumpur,Job Board,"1,001-10,000 employees",200+ people,SEEK Asia,10,6,1,3200,
26/07/2021 21:42:03,Male,24,Malaysian,Malaysia,Sabah,Kota Kinabalu,Undergraduate Degree,Bachelor of Computer Science (Artificial Intelligence),Universiti Malaya,Yes,No,No,,,IoT Developer,MYR,3300,0,0,14,"Maternity Leave, Paternity Leave, Vacation/Personal Days, Remote Work","JavaScript, NodeJS, HTML, CSS, VSCode, ExpressJS, Linux, Windows","Pulau Pinang, Malaysia","Industrials (Manufacturing, Construction, etc.)",11-50 employees,2 - 10 people,,7,3,2,1000,
26/07/2021 21:44:52,Male,22,Malaysian,Malaysia,Selangor,Petaling Jaya ,Undergraduate Degree,Bachelor of Computer Science ,Sunway University ,Yes,No,No,,,Software Engineer,MYR,4400,0,0,18,"Health Insurance, Life Insurance, Dental Insurance, Maternity Leave, Paternity Leave, Sick Time (Unlimited), Gym/Wellness Reimbursement",Java,"Selangor, Malaysia","Industrials (Manufacturing, Construction, etc.)",">10,000employees",11 - 50 people,,8,0,0,4400,
26/07/2021 21:46:17,Male,28,Malaysian,Malaysia,SARAWAK,MIRI,Undergraduate Degree,BACHELOR OF COMPUTER SCIENCE,UNIVERSITI MALAYSIA SARAWAK,Yes,No,No,,,IT EXECUTIVE,MYR,3300,0,0,14,"Health Insurance, Remote Work, Employee Discount, Learning and Development, Company Laptop, Company Phones","C#,NodeJS,Raspberry Pi, Android, Flutter","SARAWAK, MALAYSIA",Retail / ecommerce,201-1000 employees,11 - 50 people,,8,4,0,2000,
26/07/2021 21:46:49,Male,25,Malaysian,Malaysia,Selangor,PJ,Diploma,,"Curtin Uni in WA, Perth",Yes,No,No,,,Tech Project Lead,MYR,13000,,,14,"Remote Work, Phone Bill Reimbursement","Google Cloud Platform, C#, React",Puchong,Financial Services,11-50 employees,2 - 10 people,,7,5,2,3000,
26/07/2021 21:47:10,Male,31,Malaysian,Malaysia,Kuala Lumpur,Kuala Lumpur,Masters Degree,Masters Degrees in Engineering,UPS 3 Toulouse,No,No,Yes,,"AWS Certified Cloud Practitioner, AWS Certified Solution Architect Associate Level","Manager, Tech Lead",MYR,9500,19000,0,20,"Health Insurance, Life Insurance, Dental Insurance, Employee Assistance Program, Maternity Leave, Paternity Leave, Vacation/Personal Days, Remote Work, Gym/Wellness Reimbursement, Employee Discount, Learning and Development, Tuition Reimbursement, Transport Allowance, Company Laptop, Phone Bill Reimbursement","Azure, Cloud, Microsoft stack","Kuala Lumpur, Malaysia","Professional Services (Law, Consulting, etc.)",">10,000employees",2 - 10 people,,3,6,3,2800,
26/07/2021 21:47:20,Male,23,Malaysian,Malaysia,Perak,,Undergraduate Degree, Bachelor of Computer Science,,Yes,No,No,,,Software Engineer,MYR,3500,0,0,20,"Sick Time (Unlimited), Remote Work, Learning and Development, Transport Allowance","Node js, Django, React, Python","Selangor, Malaysia",Retail / ecommerce,1-10 employees,2 - 10 people,,7,0.5,0,3500,
26/07/2021 21:47:47,Male,27,Malaysian,Malaysia,Selangor,Petaling Jaya,Undergraduate Degree,Bachelor of Computer Science,University of Nottingham ,Yes,No,No,,Salesforce,Salesforce Consultant,MYR,8650,,,14,"Health Insurance, Life Insurance, Dental Insurance, Vacation/Personal Days, Remote Work, Learning and Development, Tuition Reimbursement, Company Laptop, Phone Bill Reimbursement","Salesforce, slack, tableau, workday","Kuala Lumpur, Malaysia ","Professional Services (Law, Consulting, etc.)",201-1000 employees,200+ people,,8,3.5,1,3600,
26/07/2021 21:47:55,Male,31,Malaysian,Malaysia,Kuala Lumpur ,Kuala Lumpur ,Masters Degree,,,No,Yes,No,"Coursera, edX, Datacamp",,Consultant,MYR,8300,,0,15,"Health Insurance, Dental Insurance, Vacation/Personal Days, Remote Work, Company Laptop, Phone Bill Reimbursement",Python ,Kuala Lumpur ,Consulting,">10,000employees",51 - 200 people,,8,6,2,2700,
26/07/2021 21:49:14,Male,26,Malaysian,Malaysia,Selangor,Petaling Jaya,Undergraduate Degree,Bachelor of Science (HONS) Actuarial Science,Universiti Tunku Abdul Rahman,No,No,No,,,Junior NodeJS Developer,MYR,8500,0,0,12,"Health Insurance, Life Insurance, Dental Insurance, Maternity Leave, Paternity Leave, Sick Time (Unlimited), Free Snacks, Free Drinks, Remote Work, Learning and Development, Company Laptop",NodeJS,WeWork,Communication,11-50 employees,11 - 50 people,,9,3,3,3500,
26/07/2021 21:49:25,Male,24,Malaysian,Malaysia,Selangor,Subang Jaya,Undergraduate Degree,Bachelor of Software Engineer,UPM,Yes,No,No,,,Web Developer,MYR,3300,3300,0,14,"Dental Insurance, Paternity Leave, Vacation/Personal Days, Free Snacks, Free Drinks, Remote Work, Learning and Development, Transport Allowance, Company Laptop, Company Phones","Laravel, PHP, MySQL, JavaScript, HTML, CSS, Scss","Selangor, Malaysia",Business,1-10 employees,2 - 10 people,,7,0,0,3000,
26/07/2021 21:50:21,Male,30,Malaysian,Malaysia,Selangor,Cheras,Undergraduate Degree,Bachelor of Computer Science,"DePaul University, Chicago ",Yes,No,No,,,Full Stack Engineer ,MYR,12500,0,0,12,"Health Insurance, Dental Insurance, Maternity Leave, Paternity Leave, Remote Work, Learning and Development, Company Laptop","Nodejs, Reactjs, microservice","Kuala Lumpur, Malaysia",Financial Services,201-1000 employees,2 - 10 people,Setel Ventures Sdn Bhd,8,6,5,2300,
26/07/2021 21:52:09,Male,28,Malaysian,Malaysia,Penang,Georgetown ,Undergraduate Degree,Bachelor of Computer Science,University of Greenwich ,Yes,No,No,,,Software Engineer,MYR,5500,11000,0,16,"Health Insurance, Life Insurance, Dental Insurance, Employee Assistance Program, Maternity Leave, Paternity Leave, Vacation/Personal Days, Learning and Development, Company Laptop","Vue, Net core, Tensorflow ","Penang, Malaysia ","Industrials (Manufacturing, Construction, etc.)",">10,000employees",2 - 10 people,Keysight Technologies,6,5,5,2300,
26/07/2021 21:53:14,Male,25,Malaysian,Malaysia,Selangor,Sungai Buloh,Undergraduate Degree,Bachelor of Computer Science (Network and Security),UTM,Yes,No,Yes,,CCNA,Software Engineer,MYR,3000,0,0,14,"Health Insurance, Free Snacks, Free Drinks, Remote Work, Transport Allowance, Company Laptop","Golang, AWS, Mongodb","Kuala Lumpur, Malaysia",Software Development,11-50 employees,2 - 10 people,Qumon Intelligence,8,1,0,3000,
26/07/2021 21:53:41,Female,24,Malaysian,Malaysia,Selangor,Shah Alam,Masters Degree,MEng electrical and electronic engineering,Imperial College London,Yes,No,Yes,,AWS Solutions Architect - Associate,R&D Engineer,MYR,3480,0,0,18,"Health Insurance, Life Insurance, Dental Insurance, Maternity Leave, Paternity Leave, Vacation/Personal Days, Gym/Wellness Reimbursement, Learning and Development, Company Laptop, Phone Bill Reimbursement","Vue.js, Python, multiple GCP services","Selangor, Malaysia","Industrials (Manufacturing, Construction, etc.)","1,001-10,000 employees",2 - 10 people,,2,2,1,3400,
26/07/2021 21:54:26,Male,29,Malaysian,Malaysia,Selangor ,Shah Alam ,Diploma,Diploma in Electronic Engineering ,Uitm ,No,Yes,No,Next Academy ,,iOS Developer ,MYR,6500,0,0,12,"Vacation/Personal Days, Remote Work, Company Laptop","Xcode, Swift",KL,House & Home,11-50 employees,2 - 10 people,,8,4,2,2500,
26/07/2021 21:57:14,Male,25,Malaysian,Malaysia,Penang,Penang Island,Diploma,Diploma in Computer Science,DISTED College,Yes,No,No,,,Software Engineer,MYR,5367,8000,0,17,"Health Insurance, Life Insurance, Dental Insurance, Employee Assistance Program, Maternity Leave, Paternity Leave, Vacation/Personal Days, Remote Work, Employee Discount, Learning and Development, Tuition Reimbursement, Transport Allowance, Company Laptop","Python, PKS, Kubernetes, JS","Penang, Malaysia","Industrials (Manufacturing, Construction, etc.)",">10,000employees",2 - 10 people,,9,4,3,2500,
26/07/2021 21:58:19,Male,27,Malaysian,Malaysia,Selangor,Shah Alam,Undergraduate Degree,Bachelor of Engineering (Chemical),The University of Queensland,No,Yes,Yes,Data Engineering - Fussionex,Microsoft Azure Certified,Data Engineer,MYR,5050,5300,0,14,"Health Insurance, Vacation/Personal Days, Free Snacks, Free Drinks, Remote Work, Gym/Wellness Reimbursement, Learning and Development, Transport Allowance, Company Laptop","Kafka, Nifi, SQL, Power BI, SAP, SSIS","Shah Alam, Selangor",Retail / ecommerce,51-200 employees,2 - 10 people,,5,3 years,2,2400,
26/07/2021 22:01:08,Male,24,Malaysian,Malaysia,Negeri Sembilan,Seremban,Undergraduate Degree,Bachelor of Computer Science,Asia Pacific University,Yes,No,No,,,Data Scientist,MYR,5500,0,0,20,"Health Insurance, Life Insurance, Dental Insurance, Employee Assistance Program, Maternity Leave, Paternity Leave, Vacation/Personal Days, Sick Time (Unlimited), Free Lunch, Remote Work, Employee Discount, Learning and Development, Company Laptop, Phone Bill Reimbursement","Python, AWS, Docker, Apache Airflow, MLflow, DVC, Arize.ai","Kuala Lumpur, Malaysia",Financial Services,201-1000 employees,2 - 10 people,MoneyLion,8,0,0,5500,
26/07/2021 22:02:13,Female,27,Malaysian,Malaysia,Selangor,PJ,Undergraduate Degree,Bachelor of Information Technology,Taruc,Yes,No,No,,,Senior Software Engineer,MYR,8000,,,14,"Health Insurance, Dental Insurance, Remote Work, Company Laptop","Nodejs, vuejs","PJ, Selangor",Auto Vehicles,"1,001-10,000 employees",11 - 50 people,,6,5,1,2500,
26/07/2021 22:06:53,Male,37,Malaysian,Malaysia,Kuala Lumpur,Kuala Lumpur,Masters Degree,Masters if Computer Science,Universiti Tunku Abdul Rahman,Yes,No,Yes,,"MCPD, MCTS, SAFe 4 Scrum Master, PRINCE2",Tech Lead,MYR,15000,24000,0,16,"Health Insurance, Life Insurance, Paternity Leave, Vacation/Personal Days, Company Laptop",".NET Core, C#, SQL Server, Kubernetes, Docker, Azure Devops",Kuala Lumpur,Financial Services,">10,000employees",2 - 10 people,,10,14,3,4000,
26/07/2021 22:07:01,Female,26,Malaysian,Malaysia,Malacca,Malacca,Undergraduate Degree,Bachelor of Computer science,UTAR,Yes,No,No,,,Senior software developer,MYR,4500,4200,,9,"Vacation/Personal Days, Sick Time (Unlimited), Remote Work, Learning and Development, Company Laptop, Company Phones, Phone Bill Reimbursement", ,"Malacca, Malaysia",Communication,1-10 employees,2 - 10 people,,7,4,0,2500,
26/07/2021 22:08:04,Male,30,Malaysian,Malaysia,Kuala Lumpur,Wangsa Maju,SPM,,,No,Yes,No,,,Software Engineer,MYR,6000,,,16,"Health Insurance, Life Insurance, Dental Insurance, Vacation/Personal Days, Gym/Wellness Reimbursement, Learning and Development",Javascript,Kuala Lumpur,"Professional Services (Law, Consulting, etc.)","1,001-10,000 employees",2 - 10 people,,10,1,3,2800,
26/07/2021 22:09:11,Male,38,Malaysian,Malaysia,Selangor,Shah alam,Undergraduate Degree,"Bachelor in science, information system engineering",Uitm,Yes,No,Yes,,Aws certified solution architect,Cloud architect,MYR,18000,540000,0,22,"Health Insurance, Life Insurance, Maternity Leave, Paternity Leave, Sick Time (Unlimited), Remote Work, Learning and Development, Transport Allowance, Company Laptop, Phone Bill Reimbursement","Cloud, docker","KL, malaysia",Financial Services,"1,001-10,000 employees",51 - 200 people,,7,14,7,1500,
26/07/2021 22:09:38,Male,28,Malaysian,Singapore,,,Undergraduate Degree,Bachelor of XXX,,Yes,No,No,,,Full Stack engineer,SGD,9000,0,10000,18,"Health Insurance, Dental Insurance, Maternity Leave, Paternity Leave, Free Snacks, Gym/Wellness Reimbursement, Company Laptop, Relocation Bonus","React.js + typescript, golang, serverless, lambda, dynamodb, SQS, SNS, api gateway, hexagonal architecture(more like how we build those)","Berlin, Germany",Tech,201-1000 employees,2 - 10 people,,7,4,1,4500,
26/07/2021 22:09:47,Male,25,Malaysian,Malaysia,Kuala Lumpur,Kuala Lumpur,Undergraduate Degree,Bachelor of Computer Science,Monash University,Yes,No,No,,,Front End Developer,MYR,6980,2000,0,15,"Health Insurance, Life Insurance, Employee Assistance Program, Maternity Leave, Paternity Leave, Vacation/Personal Days, Remote Work, Gym/Wellness Reimbursement, Learning and Development, Company Laptop, Company Phones, Phone Bill Reimbursement",Swift ,"Kuala Lumpur, Malaysia","Professional Services (Law, Consulting, etc.)","1,001-10,000 employees",11 - 50 people,,8,3,0,4100,
26/07/2021 22:10:08,Male,23,Malaysian,Malaysia,Selangor,Puchong,Undergraduate Degree,Bachelor in Software Engineering,Asia Pacific University,Yes,No,No,,,Full Stack Developer,MYR,3800,600,,14,"Health Insurance, Dental Insurance, Transport Allowance, Company Laptop","Java, React Native","Selangor,Malaysia",Financial Services,51-200 employees,2 - 10 people,,5,1.5,0,3800,
26/07/2021 22:11:30,Male,29,Malaysian,Malaysia,KL,Cheras,Diploma,,,No,No,No,,,Software Engineering Manager,MYR,18000,30000,50000,21,"Health Insurance, Life Insurance, Dental Insurance, Employee Assistance Program, Paternity Leave, Vacation/Personal Days, Sick Time (Unlimited), Remote Work, Gym/Wellness Reimbursement, Employee Discount, Learning and Development, Tuition Reimbursement, Transport Allowance, Company Laptop, Company Phones, Phone Bill Reimbursement, Relocation Bonus","Golang, Reactjs, Python, CI/CD, Kubernates, Redis, EC2, Lambda, Terraform, Jenkins","Selangor, Malaysia",Tech,"1,001-10,000 employees",11 - 50 people,,10,7,1,3000,
26/07/2021 22:12:02,Male,24,Malaysian,Malaysia,Selangor,Petaling Jaya,Undergraduate Degree,Bachelor of Information Technology,SEGi University,Yes,No,No,,,Software Developer,MYR,3000,0,0,14,"Health Insurance, Maternity Leave, Paternity Leave, Company Laptop","Android Studio, Java, Flutter",Shah Alam,Business,">10,000employees",2 - 10 people,,4,1,0,3000,
26/07/2021 22:12:16,Male,29,Malaysian,Malaysia,Penang,Butterworth,Undergraduate Degree,Bachelor of Mechanical Engineering,Universiti Teknologi Petronas,No,No,No,,,Software Engineer,MYR,6700,15000,10000,14,"Health Insurance, Life Insurance, Dental Insurance, Maternity Leave, Paternity Leave, Free Snacks, Free Drinks, Remote Work, Gym/Wellness Reimbursement, Company Laptop, Phone Bill Reimbursement","Js, python","Penang, Malaysia","Industrials (Manufacturing, Construction, etc.)",11-50 employees,2 - 10 people,,9,2,3,4000,
26/07/2021 22:13:25,Male,23,Malaysian,Malaysia,Johor,Muar,Undergraduate Degree,BSc in Computer Science (Data Analytics),Asia Pacific University,Yes,No,No,,,Frontend Developer,MYR,3800,0,0,14,"Health Insurance, Dental Insurance, Paternity Leave, Free Lunch, Company Laptop, Parking rebate",React JS,Selangor,Art & Design,201-1000 employees,11 - 50 people,,8,1,1,3400,
26/07/2021 22:13:39,Male,30,Malaysian,Malaysia,,,Masters Degree,,,No,No,No,,,Manager,MYR,13500,,,14,"Health Insurance, Life Insurance, Dental Insurance, Employee Assistance Program, Maternity Leave, Paternity Leave, Vacation/Personal Days, Sick Time (Unlimited), Remote Work, Gym/Wellness Reimbursement, Employee Discount, Learning and Development, Company Laptop, Phone Bill Reimbursement",Java,"Kuala Lumpur, Malaysia","Professional Services (Law, Consulting, etc.)",">10,000employees",11 - 50 people,,8,6,1,3500,
